DSSTox_Substance_Id,DSSTox_Structure_Id,DSSTox_QC-Level,name,casn,Substance_Type,Substance_Note,SMILES,InChI,InChIKey,formula,MolWt
DTXSID7020001,DTXCID101,DSSTox_Low,A-alpha-C,26148-68-5,Single Compound,,NC1=NC2=C(C=C1)C1=CC=CC=C1N2,"InChI=1S/C11H9N3/c12-10-6-5-8-7-3-1-2-4-9(7)13-11(8)14-10/h1-6H,(H3,12,13,14)
AuxInfo=1/1/N:12,11,13,10,4,3,14,5,9,2,6,1,8,7/rA:14NCCCCCNNCCCCCC/rB:s1;s2;d3;s4;d5;d2s6;s6;s8;d9;s10;d11;s12;s5s9d13;/rC:8.5138,-4.342,0;7.1856,-3.5757,0;7.1856,-2.0347,0;5.8488,-1.2685,0;4.5208,-2.0347,0;4.5208,-3.5757,0;5.8488,-4.342,0;3.0565,-4.0526,0;2.1539,-2.8011,0;.6215,-2.6477,0;0,-1.243,0;.9025,0,0;2.4349,-.1532,0;3.0565,-1.5579,0;
",FJTNLJLPLJDTRM-UHFFFAOYSA-N,C11H9N3,183.2093
DTXSID2020004,DTXCID404,DSSTox_Low,Acetaldehyde oxime,107-29-9,Single Compound,,C\C=N\O,"InChI=1S/C2H5NO/c1-2-3-4/h2,4H,1H3/b3-2+
AuxInfo=1/0/N:1,2,3,4/rA:4CCNO/rB:s1;d+2;s3;/rC:;1.3341,-.7692,0;2.6725,0,0;4.0068,-.7692,0;
",FZENGILVLUJGJX-NSCUHMNNSA-N,C2H5NO,59.0672
DTXSID7020005,DTXCID505,DSSTox_High,Acetamide,60-35-5,Single Compound,,CC(N)=O,"InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)
AuxInfo=1/1/N:1,2,4,3/rA:4CCON/rB:s1;d2;s2;/rC:2.3093,0,0;1.5386,-1.3333,0;2.3093,-2.6667,0;0,-1.3333,0;
",DLFVBJFMPXGRIB-UHFFFAOYSA-N,C2H5NO,59.0672
DTXSID2020006,DTXCID606,DSSTox_Low,Acetaminophen,103-90-2,Single Compound,,CC(=O)NC1=CC=C(O)C=C1,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)
AuxInfo=1/1/N:11,6,7,9,8,1,4,5,2,3,10/E:(2,3)(4,5)/rA:11CNOCCCCCCOC/rB:s1;d1;s2;;d4;s4;s5d7;d5s6;s5;s1;/rC:6.6468,-.782,0;5.3063,0,0;6.6468,-2.322,0;3.9896,-.782,0;1.3325,-2.322,0;3.9896,-2.322,0;2.6731,-.0239,0;1.3325,-.798,0;2.6731,-3.08,0;0,-3.1199,0;7.9794,0,0;
",RZVAJINKPMORJF-UHFFFAOYSA-N,C8H9NO2,151.1626
DTXSID7020007,DTXCID707,DSSTox_Low,Acetohexamide,968-81-0,Single Compound,,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,"InChI=1S/C15H20N2O4S/c1-11(18)12-7-9-14(10-8-12)22(20,21)17-15(19)16-13-5-3-2-4-6-13/h7-10,13H,2-6H2,1H3,(H2,16,17,19)
AuxInfo=1/1/N:17,22,20,21,18,19,14,15,12,11,9,8,16,4,3,7,2,13,10,5,6,1/E:(3,4)(5,6)(7,8)(9,10)(20,21)/CRV:22.6/rA:22SNCCOONCCOCCOCCCCCCCCC/rB:s1;s2;s1;d1;d1;s3;;s8;d3;d4;s4;d9;s8d12;d8s11;s7;s9;s16;s16;s18;s19;s20s21;/rC:6.9231,-1.54,0;8.4631,-1.54,0;9.2539,-2.8858,0;5.3831,-1.54,0;6.9231,0,0;6.9231,-3.08,0;10.7939,-2.8858,0;2.3031,-1.54,0;.7631,-1.54,0;8.4631,-4.2176,0;4.62,-2.8858,0;4.62,-.222,0;0,-.222,0;3.08,-.222,0;3.08,-2.8858,0;11.5569,-4.2176,0;0,-2.8858,0;10.7939,-5.5496,0;13.0969,-4.2176,0;11.5569,-6.8676,0;13.8739,-5.5496,0;13.0969,-6.8676,0;
",VGZSUPCWNCWDAN-UHFFFAOYSA-N,C15H20N2O4S,324.3953
DTXSID2020008,DTXCID808,DSSTox_Low,Acetone[4-(5-nitro-2-furyl)-2-thiazolyl] hydrazone,18523-69-8,Single Compound,,CC(C)=NNC1=NC=C(S1)C1=CC=C(O1)[N+]([O-])=O,"InChI=1S/C10H10N4O3S/c1-6(2)12-13-10-11-5-8(18-10)7-3-4-9(17-7)14(15)16/h3-5H,1-2H3,(H,11,13)
AuxInfo=1/1/N:2,3,12,13,8,1,11,9,14,6,7,4,5,16,17,18,15,10/E:(1,2)(15,16)/CRV:14.5/rA:18CCCNNCNCCSCCCCON+OO-/rB:s1;s1;d1;s4;s5;d6;s7;d8;s6s9;s9;d11;s12;d13;s11s14;s14;d16;s16;/rC:12.8703,-2.4149,0;12.8703,-.8666,0;14.2057,-3.1821,0;11.5351,-3.1821,0;10.1996,-2.4149,0;8.8784,-3.1821,0;8.7081,-4.7021,0;7.2023,-5.0289,0;6.4352,-3.6935,0;7.4722,-2.557,0;4.9011,-3.5372,0;3.8782,-4.6738,0;2.4717,-4.0487,0;2.628,-2.5285,0;4.1339,-2.2019,0;1.4917,-1.4917,0;0,-1.8893,0;1.8893,0,0;
",CUWVNOSSZYUJAE-UHFFFAOYSA-N,C10H10N4O3S,266.2764
DTXSID7020009,DTXCID909,DSSTox_Low,Acetonitrile,75-05-8,Single Compound,,CC#N,"InChI=1S/C2H3N/c1-2-3/h1H3
AuxInfo=1/0/N:1,2,3/rA:3CCN/rB:s1;t2;/rC:3.08,0,0;1.54,0,0;;
",WEVYAHXRMPXWCK-UHFFFAOYSA-N,C2H3N,41.0519
DTXSID6020010,DTXCID1010,DSSTox_Low,Acetoxime,127-06-0,Single Compound,,CC(C)=NO,"InChI=1S/C3H7NO/c1-3(2)4-5/h5H,1-2H3
AuxInfo=1/0/N:1,5,2,3,4/E:(1,2)/rA:5CCNOC/rB:s1;d2;s3;s2;/rC:4.0032,-2.3098,0;2.6701,-1.5412,0;1.3331,-2.3098,0;0,-1.5412,0;2.6701,0,0;
",PXAJQJMDEXJWFB-UHFFFAOYSA-N,C3H7NO,73.0938
DTXSID6020012,DTXCID5012,DSSTox_Low,N'-Acetyl-4-(hydroxymethyl) phenylhydrazine,65734-38-5,Single Compound,,CC(=O)NNC1=CC=C(CO)C=C1,"InChI=1S/C9H12N2O2/c1-7(13)10-11-9-4-2-8(6-12)3-5-9/h2-5,11-12H,6H2,1H3,(H,10,13)
AuxInfo=1/1/N:4,8,10,7,11,12,3,9,6,2,1,13,5/E:(2,3)(4,5)/rA:13NNCCOCCCCCCCO/rB:s1;s2;s3;d3;s1;d6;s7;d8;s9;s6d10;s9;s12;/rC:3.0864,-2.6755,0;2.3148,-1.3427,0;.7716,-1.3427,0;0,-2.6755,0;;4.6294,-2.6755,0;5.3912,-1.3427,0;6.9342,-1.3427,0;7.7058,-2.6755,0;6.9342,-4.0082,0;5.3912,-4.0082,0;9.249,-2.6755,0;10.0205,-4.0082,0;
",UFFJUAYKLIGSJF-UHFFFAOYSA-N,C9H12N2O2,180.2038
DTXSID1020013,DTXCID7013,DSSTox_Low,1-Acetyl-2-isonicotinoylhydrazine,1078-38-2,Single Compound,,CC(=O)NNC(=O)C1=CC=NC=C1,"InChI=1S/C8H9N3O2/c1-6(12)10-11-8(13)7-2-4-9-5-3-7/h2-5H,1H3,(H,10,12)(H,11,13)
AuxInfo=1/1/N:4,8,12,9,11,3,7,6,10,2,1,5,13/E:(2,3)(4,5)/rA:13NNCCOCCCCNCCO/rB:s1;s2;s3;d3;s1;s6;d7;s8;d9;s10;s7d11;d6;/rC:3.9958,-2.3099,0;2.6638,-1.5367,0;1.3319,-2.3099,0;0,-1.5367,0;1.3319,-3.8468,0;5.3185,-1.5367,0;6.6503,-2.3099,0;7.9822,-1.5367,0;9.3141,-2.3099,0;9.3141,-3.8468,0;7.9822,-4.6106,0;6.6503,-3.8468,0;5.3185,0,0;
",CVBGNAKQQUWBQV-UHFFFAOYSA-N,C8H9N3O2,179.176
DTXSID6020014,DTXCID9014,DSSTox_Low,Dehydroacetic acid,520-45-6,Single Compound,,CC(=O)C1C(=O)OC(C)=CC1=O,"InChI=1/C8H8O4/c1-4-3-6(10)7(5(2)9)8(11)12-4/h3,7H,1-2H3
AuxInfo=1/0/N:9,12,8,7,10,2,3,4,11,1,5,6/rA:12OCCCOOCCCCOC/rB:d1;s2;s3;d4;s4;s6;s2d7;s7;s3;d10;s10;/rC:2.3101,-5.3417,0;3.0801,-4.0097,0;2.3101,-2.6708,0;3.0801,-1.3389,0;2.3101,0,0;4.6272,-1.3389,0;5.3972,-2.6708,0;4.6272,-4.0097,0;6.9372,-2.6708,0;.7701,-2.6708,0;0,-4.0097,0;0,-1.3389,0;
",PGRHXDWITVMQBC-UHFFFAOYNA-N,C8H8O4,168.1467
DTXSID1020015,DTXCID1015,DSSTox_Low,1-Acetyl-2-phenylhydrazine,114-83-0,Single Compound,,CC(=O)NNC1=CC=CC=C1,"InChI=1S/C8H10N2O/c1-7(11)9-10-8-5-3-2-4-6-8/h2-6,10H,1H3,(H,9,11)
AuxInfo=1/1/N:5,9,8,10,7,11,4,1,3,2,6/E:(3,4)(5,6)/rA:11CNNCCOCCCCC/rB:s1;s2;s3;s4;d4;d1;s7;d8;s9;s1d10;/rC:4.6239,-2.674,0;3.0827,-2.674,0;2.3118,-1.3409,0;.7706,-1.3409,0;0,-2.674,0;;5.3945,-1.3409,0;6.9357,-1.3409,0;7.7064,-2.674,0;6.9357,-4.0073,0;5.3945,-4.0073,0;
",UICBCXONCUFSOI-UHFFFAOYSA-N,C8H10N2O,150.1778
DTXSID1020017,DTXCID5017,DSSTox_Low,1-Acetylaminofluorene,28314-03-6,Single Compound,,CC(=O)NC1=C2CC3=CC=CC=C3C2=CC=C1,"InChI=1S/C15H13NO/c1-10(17)16-15-8-4-7-13-12-6-3-2-5-11(12)9-14(13)15/h2-8H,9H2,1H3,(H,16,17)
AuxInfo=1/1/N:1,10,11,16,9,12,15,17,7,2,8,13,14,6,5,4,3/rA:17CCONCCCCCCCCCCCCC/rB:s1;d2;s2;s4;d5;s6;s7;d8;s9;d10;s11;s8d12;s6s13;d14;s15;s5d16;/rC:9.7151,-2.6619,0;8.9475,-4.0026,0;9.7151,-5.3335,0;7.403,-4.0026,0;6.6354,-2.6619,0;5.0906,-2.6619,0;4.061,-3.8084,0;2.6521,-3.1865,0;1.2436,-3.8084,0;0,-2.9047,0;.1652,-1.3699,0;1.564,-.7481,0;2.8173,-1.6514,0;4.3232,-1.331,0;5.0906,0,0;6.6354,0,0;7.403,-1.331,0;
",POECHIXSIXBYKI-UHFFFAOYSA-N,C15H13NO,223.2698
